shapeid;x;y
0;312.7834;-35.19076
0;343.7834;-19.19076
0;349.2834;-15.09076
0;355.7834;-5.89076
0;357.8834;2.10924
0;358.9834;11.40924
0;357.2834;20.80924
0;353.3834;29.80924
0;349.0834;34.90924
0;344.4834;38.60924
0;334.8834;43.50924
0;331.1834;44.80924
0;320.9834;47.70924
0;282.8834;56.50924
0;259.2834;60.60924
0;237.4834;63.10924
0;226.0834;62.90924
0;218.6834;62.00924
0;214.9834;61.40924
0;206.8834;59.10924
0;197.2834;51.80924
0;169.8834;27.60924
0;129.6834;-8.29076
0;104.7858808144;-31.4742596823
0;106.0148293806;-32.7942414756
0;99.3694038003;-38.8934676932
0;96.3653073051;-41.6244645071
0;94.3625763083;-39.8493165781
0;84.0834;-50.09076
0;84.1834;-51.89076
0;85.0834;-53.99076
0;86.8834;-55.19076
0;92.0834;-57.89076
0;99.4834;-62.39076
0;108.0834;-70.79076
0;114.2834;-79.29076
0;117.8834;-87.59076
0;121.4834;-98.99076
0;122.1834;-109.89076
0;120.6834;-122.89076
0;119.1834;-129.29076
0;118.7834;-131.99076
0;120.8834;-134.99076
0;123.3834;-136.09076
0;129.1834;-133.29076
0;136.4834;-128.79076
0;150.5834;-120.49076
0;188.7834;-98.99076
0;227.6834;-78.89076
0;229.0834;-46.19076
0;215.8834;-45.29076
0;197.9834;-44.49076
0;199.2834;-27.89076
0;280.2989563025;-33.6809955461
0;282.2106540722;-1.5007497564
0;248.0834;-0.49076
0;248.1834;16.30924
0;317.5834;12.70924
0;317.4834;1.80924
0;313.6834;2.00924
0;313.1834;-2.89076
0;309.9834;-2.99076
0;291.6834;-1.99076
0;291.9834;3.10924
0;288.3834;3.10924
0;287.8834;2.50924
0;287.3834;-5.79076
0;287.2834;-8.19076
0;286.1834;-32.49076
0;291.0834;-32.59076
0;290.8834;-38.69076
0;286.4834;-38.29076
0;286.1834;-46.49076
0;288.1834;-47.39076
0;298.0834;-42.59076
0;301.8834;-40.59076
0;305.0834;-38.89076
0;312.7834;-35.19076
1;238.1834;-71.79076
1;240.5834;-71.59076
1;277.7834;-51.49076
